obj_ID, point_value, x, y
1, 5, 15, 23.5
2, 2, 10, 20
3, 4, 15, 20
4, 5, 20, 20
5, 2, 12.5, 17.5
6, 4, 17.5, 17.5
7, 1, 6.5, 15
8, 1, 10, 15
9, 4, 15, 15
10, 4, 20, 15
11, 5, 23.5, 15
12, 2, 12.5, 12.5
13, 2, 17.5, 12.5
14, 1, 10, 10
15, 1, 15, 10
16, 2, 20, 10
17, 1, 15, 6.5
18, 5, -20, 5
19, 2, -30, 10
20, 4, -20, 10
21, 5, -10, 10
22, 2, -25, 15
23, 4, -15, 15
24, 1, -30, 20
25, 4, -20, 20
26, 4, -10, 20
27, 5, -5, 20
28, 2, -25, 25
29, 2, -15, 25
30, 1, -30, 30
31, 1, -20, 30
32, 2, -10, 30
33, 5, 20, -5
34, 2, 30, -10
35, 4, 20, -10
36, 5, 10, -10
37, 2, 25, -15
38, 4, 15, -15
39, 1, 30, -20
40, 4, 20, -20
41, 4, 10, -20
42, 5, 5, -20
43, 2, 25, -25
44, 2, 15, -25
45, 1, 30, -30
46, 1, 20, -30
47, 2, 10, -30
48,5,-15,-23.5
49,4,-15,-20
50,2,-10,-20
51,5,-20,-20
52,2,-12.5,-17.5
53,4,-17.5,-17.5
54,1,-6.5,-15
55,1,-10,-15
56,4,-15,-15
57,4,-20,-15
58,5,-23.5,-15
59,2,-12.5,-12.5
60,2,-17.5,-12.5
61,1,-10,-10
62,1,-15,-10
63,2,-20,-10
64,1,-15,-6.5


