obj_ID,point_value,x,y
1,5,10,18.5
2,2,5,15
3,4,10,15
4,5,15,15
5,2,7.5,12.5
6,4,12.5,12.5
7,1,1.5,10
8,1,5,10
9,4,10,10
10,4,15,10
11,5,18.5,10
12,2,7.5,7.5
13,2,12.5,7.5
14,1,5,5
15,1,10,5
16,2,15,5
17,1,10,1.5
18,5,15,-23.5
19,4,15,-20
20,2,10,-20
21,5,20,-20
22,2,12.5,-17.5
23,4,17.5,-17.5
24,1,6.5,-15
25,1,10,-15
26,4,15,-15
27,4,20,-15
28,5,23.5,-15
29,2,12.5,-12.5
30,2,17.5,-12.5
31,1,10,-10
32,1,15,-10
33,2,20,-10
34,1,15,-6.5
35,5,-15,23.5
36,4,-15,20
37,2,-10,20
38,5,-20,20
39,2,-12.5,17.5
40,4,-17.5,17.5
41,1,-6.5,15
42,1,-10,15
43,4,-15,15
44,4,-20,15
45,5,-23.5,15
46,2,-12.5,12.5
47,2,-17.5,12.5
48,1,-10,10
49,1,-15,10
50,2,-20,10
51,1,-15,6.5
52,5,-10,-18.5
53,2,-5,-15
54,4,-10,-15
55,5,-15,-15
56,2,-7.5,-12.5
57,4,-12.5,-12.5
58,1,-1.5,-10
59,1,-5,-10
60,4,-10,-10
61,4,-15,-10
62,5,-18.5,-10
63,2,-7.5,-7.5
64,2,-12.5,-7.5
65,1,-5,-5
66,1,-10,-5
67,2,-15,-5
68,1,-10,-1.5
