level,nn_rule,forage_number,steps
1,0,1,1343
1,0,2,1385
1,0,3,1351
1,0,4,1286
1,0,5,1352
1,0,6,1331
1,0,7,1415
1,0,8,1345
1,0,9,1286
1,0,10,1312
1,0,11,1267
1,0,12,1324
1,0,13,1268
1,0,14,1285
1,0,15,1312
1,0,16,1283
1,0,17,1308
1,0,18,1331
1,0,19,1287
1,0,20,1287
1,0,21,1336
1,0,22,1301
1,0,23,1333
1,0,24,1288
1,0,25,1348
1,0,26,1357
1,0,27,1276
1,0,28,1292
1,0,29,1304
1,0,30,1301
1,0,31,1279
1,0,32,1298
1,0,33,1316
1,0,34,1383
1,0,35,1361
1,0,36,1314
1,0,37,1279
1,0,38,1377
1,0,39,1254
1,0,40,1270
1,0,41,1381
1,0,42,1348
1,0,43,1314
1,0,44,1324
1,0,45,1313
1,0,46,1313
1,0,47,1296
1,0,48,1362
1,0,49,1304
1,0,50,1265
1,0,51,1364
1,0,52,1321
1,0,53,1309
1,0,54,1341
1,0,55,1296
1,0,56,1320
1,0,57,1305
1,0,58,1368
1,0,59,1288
1,0,60,1336
1,0,61,1343
1,0,62,1300
1,0,63,1303
1,0,64,1315
1,0,65,1261
1,0,66,1378
1,0,67,1351
1,0,68,1372
1,0,69,1392
1,0,70,1316
1,0,71,1317
1,0,72,1348
1,0,73,1353
1,0,74,1295
1,0,75,1269
1,0,76,1313
1,0,77,1287
1,0,78,1340
1,0,79,1289
1,0,80,1320
1,0,81,1346
1,0,82,1304
1,0,83,1368
1,0,84,1309
1,0,85,1362
1,0,86,1343
1,0,87,1309
1,0,88,1302
1,0,89,1296
1,0,90,1334
1,0,91,1340
1,0,92,1303
1,0,93,1279
1,0,94,1353
1,0,95,1334
1,0,96,1240
1,0,97,1321
1,0,98,1295
1,0,99,1359
1,0,100,1316
1,1,1,1319
1,1,2,1323
1,1,3,1335
1,1,4,1326
1,1,5,1307
1,1,6,1345
1,1,7,1274
1,1,8,1377
1,1,9,1311
1,1,10,1346
1,1,11,1289
1,1,12,1303
1,1,13,1311
1,1,14,1291
1,1,15,1362
1,1,16,1355
1,1,17,1294
1,1,18,1298
1,1,19,1313
1,1,20,1284
1,1,21,1343
1,1,22,1298
1,1,23,1351
1,1,24,1268
1,1,25,1346
1,1,26,1339
1,1,27,1293
1,1,28,1320
1,1,29,1310
1,1,30,1316
1,1,31,1385
1,1,32,1322
1,1,33,1299
1,1,34,1251
1,1,35,1292
1,1,36,1333
1,1,37,1260
1,1,38,1260
1,1,39,1365
1,1,40,1297
1,1,41,1298
1,1,42,1261
1,1,43,1329
1,1,44,1307
1,1,45,1317
1,1,46,1306
1,1,47,1284
1,1,48,1290
1,1,49,1322
1,1,50,1294
1,1,51,1276
1,1,52,1321
1,1,53,1344
1,1,54,1318
1,1,55,1364
1,1,56,1290
1,1,57,1291
1,1,58,1335
1,1,59,1332
1,1,60,1303
1,1,61,1361
1,1,62,1375
1,1,63,1392
1,1,64,1308
1,1,65,1376
1,1,66,1348
1,1,67,1360
1,1,68,1286
1,1,69,1320
1,1,70,1292
1,1,71,1322
1,1,72,1332
1,1,73,1318
1,1,74,1282
1,1,75,1294
