forage_number,nn_rule,level,det,rmi,ood,steps
1,0,_level_1,0.1033487297921478,0.5206206038732258,2,1343
1,0,_level_2,0.3530598520511096,0.6524650997844963,1,1043
1,1,_level_1,0.11437626044367616,0.5541001513537535,2,1319
1,1,_level_2,0.9314194577352471,0.897230493502368,1,914
1,2,_level_1,0.1844741235392321,0.5054164540263545,1,1477
1,2,_level_2,0.9166666666666666,0.9320932394382676,1,918
1,3,_level_1,0.1981605351170569,0.6162087419637842,1,1574
1,3,_level_2,0.9046979865771811,0.944205095546676,1,918
1,4,_level_1,0.1608695652173913,0.5340977045164276,1,1617
1,4,_level_2,0.8686868686868687,0.9439491358549096,1,913
1,5,_level_1,0.15964912280701754,0.5567423381169222,1,1645
1,5,_level_2,0.7108585858585859,0.9284824209530532,1,896
2,0,_level_1,0.07900028727377191,0.47262906261014714,1,1385
2,0,_level_2,0.6598101265822784,0.7756904227220589,1,1019
2,1,_level_1,0.0894874022589053,0.5128397018759878,2,1323
2,1,_level_2,0.9043062200956936,0.929485140694986,1,909
2,2,_level_1,0.3874445149017121,0.6055688124761361,1,1480
2,2,_level_2,0.851010101010101,0.9234230996611866,1,915
2,3,_level_1,0.1870967741935484,0.5419334658575357,1,1576
2,3,_level_2,0.9416445623342176,0.9260025752906272,1,924
2,4,_level_1,0.1485148514851485,0.49045175503997895,1,1669
2,4,_level_2,0.8345959595959596,0.958532865117963,1,911
2,5,_level_1,0.12334801762114538,0.5144130735032939,1,1636
2,5,_level_2,0.7878787878787878,0.9472990520008406,1,899
3,0,_level_1,0.18721198156682028,0.5652731719731381,2,1351
3,0,_level_2,0.38058252427184464,0.6516607646207209,1,1014
3,1,_level_1,0.13865667339290863,0.6137615226674689,2,1335
3,1,_level_2,0.9808612440191388,0.9510910438875668,1,922
3,2,_level_1,0.22502030869212025,0.5499189185517903,1,1439
3,2,_level_2,0.9053030303030304,0.9573920531946511,1,919
3,3,_level_1,0.24192059095106183,0.6071537424506086,1,1583
3,3,_level_2,0.953083109919571,0.9584491390216524,1,903
3,4,_level_1,0.16052631578947368,0.4869454908816896,1,1590
3,4,_level_2,0.8106060606060606,0.9060411688505192,1,917
3,5,_level_1,0.17860016090104586,0.5272571037810916,1,1599
3,5,_level_2,0.7323232323232324,0.92084429332941,1,900
4,0,_level_1,0.24402189570728897,0.6729510207322424,2,1286
4,0,_level_2,0.5269058295964125,0.6695984692418249,1,1026
4,1,_level_1,0.14946516334200635,0.5024010337995453,1,1326
4,1,_level_2,0.9309262166405023,0.905942266585795,1,920
4,2,_level_1,0.17916337805840568,0.4571436922484716,1,1479
4,2,_level_2,0.6823979591836735,0.9105348723896552,1,917
4,3,_level_1,0.2248134328358209,0.6012196306319656,1,1549
4,3,_level_2,0.9543624161073826,0.9662646914363078,1,902
4,4,_level_1,0.12386457473162676,0.505739225368417,1,1644
4,4,_level_2,0.8131313131313131,0.8615158527429738,1,915
4,5,_level_1,0.20614035087719296,0.5552599278914614,1,1608
4,5,_level_2,0.8181818181818182,0.9425366705147354,1,902
5,0,_level_1,0.11220074992789154,0.5368344115345411,2,1352
5,0,_level_2,0.3665283540802213,0.6379979093364897,1,1025
5,1,_level_1,0.19160636758321273,0.6084468132832827,2,1307
5,1,_level_2,0.9308681672025724,0.8964040555146446,1,925
5,2,_level_1,0.11604095563139932,0.47021222010808594,1,1480
5,2,_level_2,0.8888888888888888,0.9058692701647684,1,920
5,3,_level_1,0.2192846034214619,0.6139498302720839,1,1552
5,3,_level_2,0.949868073878628,0.9661998278063176,1,912
5,4,_level_1,0.2754777070063694,0.5297703103097455,1,1618
5,4,_level_2,0.7954545454545454,0.8916046393296323,1,911
5,5,_level_1,0.19437551695616212,0.5509702718371194,1,1612
5,5,_level_2,0.7424242424242424,0.887407881913415,1,897
6,0,_level_1,0.1805314846909301,0.6348582970467357,2,1331
6,0,_level_2,0.41395793499043976,0.7749897524263297,1,1014
6,1,_level_1,0.13837744533947066,0.5829377530294371,2,1345
6,1,_level_2,0.930756843800322,0.905046189684442,1,916
6,2,_level_1,0.25317373957199857,0.6468621494543474,1,1424
6,2,_level_2,0.7411616161616161,0.9400501592511948,2,917
6,3,_level_1,0.24881291547958215,0.581707448807771,1,1565
6,3,_level_2,0.8905013192612137,0.937189704989058,1,908
6,4,_level_1,0.1718882303132938,0.5149095858803555,1,1618
6,4,_level_2,0.8409090909090909,0.9274392972887128,1,911
6,5,_level_1,0.2407843137254902,0.6226944096605734,1,1636
6,5,_level_2,0.648989898989899,0.868001409838792,1,890
7,0,_level_1,0.06765604539502401,0.4602806250681313,1,1415
7,0,_level_2,0.38585858585858585,0.6899765814617868,1,1010
7,1,_level_1,0.3030478955007257,0.7018593411789317,2,1274
7,1,_level_2,0.8592,0.8816198525748041,1,925
7,2,_level_1,0.14127906976744187,0.5015937719335799,1,1485
7,2,_level_2,0.8914141414141414,0.944122255534497,1,919
7,3,_level_1,0.13651877133105805,0.5082328355390345,1,1605
7,3,_level_2,0.9247027741083224,0.9479076142541264,1,917
7,4,_level_1,0.25562817719680464,0.6529197728237605,1,1608
7,4,_level_2,0.8522727272727273,0.8958336488272977,1,911
7,5,_level_1,0.2360097323600973,0.5832130546356566,1,1611
7,5,_level_2,0.6818181818181818,0.8998197652025385,1,901
8,0,_level_1,0.0834054834054834,0.41476735012690913,1,1345
8,0,_level_2,0.812617702448211,0.8846039397765605,1,1046
8,1,_level_1,0.15038893690579083,0.5759308336082543,2,1377
8,1,_level_2,0.9109697933227344,0.9147805408635268,1,937
8,2,_level_1,0.1802030456852792,0.5507838623499342,1,1486
8,2,_level_2,0.8093434343434344,0.9461195925195786,2,917
8,3,_level_1,0.13288069835111543,0.5588574218395066,1,1563
8,3,_level_2,0.9098143236074272,0.961257950711348,1,918
8,4,_level_1,0.21150592216582065,0.6144906524289455,1,1611
8,4,_level_2,0.8093434343434344,0.904213391498868,1,914
8,5,_level_1,0.16476774758983348,0.5336575284216263,1,1643
8,5,_level_2,0.8207070707070707,0.9270941464833776,1,901
9,0,_level_1,0.24257282953562156,0.7172862225641088,2,1286
9,0,_level_2,0.28054298642533937,0.6567684034070014,1,1011
9,1,_level_1,0.15716753022452504,0.5783995079773063,2,1311
9,1,_level_2,0.8530805687203792,0.9267329822020556,1,916
9,2,_level_1,0.21953065859197576,0.5731422030653897,1,1455
9,2,_level_2,0.7954545454545454,0.9590620475706152,2,919
9,3,_level_1,0.2,0.595957458542289,1,1574
9,3,_level_2,0.93360433604336035,0.9235576609192836,1,916
9,4,_level_1,0.188646288209607,0.5269974557547122,1,1628
9,4,_level_2,0.8308080808080808,0.928493433944011,1,906
9,5,_level_1,0.1446099912357581,0.4748985779945821,1,1656
9,5,_level_2,0.7247474747474747,0.8762714092450534,1,894
10,0,_level_1,0.1943881978594157,0.5649574315284361,2,1312
10,0,_level_2,0.2642073778664008,0.6665770829383584,1,1015
10,1,_level_1,0.09229442208165611,0.46181868691427497,1,1346
10,1,_level_2,0.9056,0.922069575795762,1,925
10,2,_level_1,0.1839541547277937,0.5708081649315702,1,1449
10,2,_level_2,0.8068181818181818,0.935563405808238,1,919
10,3,_level_1,0.1850431447746884,0.5388628071085841,1,1591
10,3,_level_2,0.9238985313751668,0.9474689044442368,1,920
10,4,_level_1,0.10973451327433628,0.469784105747224,1,1633
10,4,_level_2,0.8106060606060606,0.8860302671018294,1,904
10,5,_level_1,0.2,0.5267455263171187,1,1615
10,5,_level_2,0.702020202020202,0.9327310540568718,2,894
11,0,_level_1,0.34316814666284734,0.7625604809532829,2,1267
11,0,_level_2,0.6513513513513514,0.7676126265992171,1,1021
11,1,_level_1,0.2050691244239631,0.6514694664335575,2,1289
11,1,_level_2,0.9257503949447078,0.9374139783963352,1,923
11,2,_level_1,0.23931623931623933,0.5235553265891387,1,1495
11,2,_level_2,0.7689393939393939,0.8987088376724013,1,918
11,3,_level_1,0.1366223908918406,0.5091123381056537,1,1559
11,3,_level_2,0.9090909090909092,0.9234208918945684,1,917
11,4,_level_1,0.21496815286624205,0.5457189371484863,1,1653
11,4,_level_2,0.8308080808080808,0.9064684049973584,1,912
11,5,_level_1,0.15289982425307558,0.5252671012240584,1,1602
11,5,_level_2,0.8232323232323232,0.9092394344941628,1,902
12,0,_level_1,0.21449108683151236,0.6498138646273203,2,1324
12,0,_level_2,0.45758564437194127,0.8126359380414812,1,1037
12,1,_level_1,0.20161756210283072,0.7068201635529704,2,1303
12,1,_level_2,0.8998410174880763,0.9079865933236588,1,922
12,2,_level_1,0.19055745164960183,0.5898635204426496,1,1472
12,2,_level_2,0.7462121212121212,0.913993354170316,1,917
12,3,_level_1,0.10950819672131148,0.47630173346505456,1,1562
12,3,_level_2,0.9522546419098143,0.9663080421425104,1,914
12,4,_level_1,0.22668810289389069,0.5409212677146091,1,1651
12,4,_level_2,0.8232323232323232,0.957939390641913,1,909
12,5,_level_1,0.1546134663341646,0.5344457918191058,1,1596
12,5,_level_2,0.6212121212121212,0.9455258034066066,2,899
13,0,_level_1,0.23424460431654676,0.7343174340519814,2,1268
13,0,_level_2,0.5119266055045871,0.7609196212287199,1,1042
13,1,_level_1,0.20405797101449272,0.639408188955837,2,1311
13,1,_level_2,0.971830985915493,0.927150998931618,1,928
13,2,_level_1,0.15934426229508197,0.5135803415349852,1,1479
13,2,_level_2,0.86489898989899,0.9058692701647684,1,920
13,3,_level_1,0.15789473684210523,0.5497349500000925,1,1598
13,3,_level_2,0.8812664907651715,0.910952572285218,1,922
13,4,_level_1,0.20954511558538405,0.5598132555828302,1,1652
13,4,_level_2,0.7840909090909091,0.8976277266295999,1,921
13,5,_level_1,0.10350727117194183,0.5225101280376516,1,1622
13,5,_level_2,0.6856060606060606,0.8829282994753701,1,903
14,0,_level_1,0.22019675925925927,0.6542877686914008,2,1285
14,0,_level_2,0.2851600387972842,0.6687340344147924,1,1023
14,1,_level_1,0.1532677848467322,0.5903121519449912,2,1291
14,1,_level_2,0.958664546899841,0.9286580613036616,1,924
14,2,_level_1,0.17724867724867724,0.6250986643397544,1,1406
14,2,_level_2,0.7676767676767676,0.9360795305925194,1,918
14,3,_level_1,0.18190298507462688,0.5010345289896104,1,1536
14,3,_level_2,0.8532974427994616,0.9271917994102342,1,924
14,4,_level_1,0.1359724612736661,0.4968368836014212,1,1599
14,4,_level_2,0.8409090909090909,0.9169247771650176,1,909
14,5,_level_1,0.21422861710631497,0.6307764680494581,1,1594
14,5,_level_2,0.8863636363636364,0.968384957703494,1,900
15,0,_level_1,0.1155504455303248,0.520687537493794,1,1312
15,0,_level_2,0.2942477876106195,0.6357401362322346,1,1019
15,1,_level_1,0.12935753385191587,0.5916045356096996,2,1362
15,1,_level_2,0.9022435897435898,0.9034758405980972,1,923
15,2,_level_1,0.11634671320535196,0.5030701601685553,1,1471
15,2,_level_2,0.9053030303030304,0.9180095763118196,1,916
15,3,_level_1,0.1610738255033557,0.5259569623665298,1,1587
15,3,_level_2,0.8997326203208557,0.9177362620754704,1,908
15,4,_level_1,0.16040100250626566,0.5238380420630959,1,1583
15,4,_level_2,0.8396464646464646,0.8826466461340515,1,909
15,5,_level_1,0.15248525695029486,0.4890502437368845,1,1610
15,5,_level_2,0.8573232323232324,0.9262924781176212,1,900
16,0,_level_1,0.24452133794694347,0.6907427416955142,2,1283
16,0,_level_2,0.32808988764044944,0.6111948830474921,1,1013
16,1,_level_1,0.0951417004048583,0.5400499016258351,2,1355
16,1,_level_2,0.8413461538461539,0.89315399830575,1,916
16,2,_level_1,0.18095238095238095,0.644250209437976,1,1469
16,2,_level_2,0.7436868686868687,0.9288832572323156,2,921
16,3,_level_1,0.12545787545787546,0.5393086713560321,1,1556
16,3,_level_2,0.9492656875834444,0.9476535330916972,1,913
16,4,_level_1,0.158311345646438,0.5077061474384843,1,1639
16,4,_level_2,0.8573232323232324,0.8999630705798256,1,917
16,5,_level_1,0.156195462478185,0.5484523921531225,1,1587
16,5,_level_2,0.75,0.8843439898871879,1,906
17,0,_level_1,0.12699333140040592,0.4596506340877176,1,1308
17,0,_level_2,0.4016477857878476,0.6256654159674866,1,1040
17,1,_level_1,0.25289351851851855,0.6671429989139679,2,1294
17,1,_level_2,0.9531502423263328,0.9189006981511488,1,905
17,2,_level_1,0.11014263074484944,0.4818321402231057,1,1490
17,2,_level_2,0.7916666666666666,0.9223490537378198,1,915
17,3,_level_1,0.1748958953004164,0.5696785132591949,1,1580
17,3,_level_2,0.9439252336448598,0.9517847955368391,1,920
17,4,_level_1,0.21271393643031783,0.5115536347680681,1,1674
17,4,_level_2,0.8290816326530612,0.8424264555112078,1,913
17,5,_level_1,0.16342756183745585,0.5556551817614093,1,1652
17,5,_level_2,0.63510101010101,0.8948669210477171,1,898
18,0,_level_1,0.18767990788716177,0.6630420329664432,2,1331
18,0,_level_2,0.39260312944523473,0.67610745821456,1,1038
18,1,_level_1,0.27936507936507937,0.7046089681613464,2,1298
18,1,_level_2,0.856687898089172,0.8794270002685574,1,923
18,2,_level_1,0.280440414507772,0.6116178050939142,1,1421
18,2,_level_2,0.8775252525252525,0.9223048961583296,1,921
18,3,_level_1,0.13973799126637554,0.5251518328831466,1,1569
18,3,_level_2,0.928191489361702,0.9466163064252848,1,914
18,4,_level_1,0.18999151823579305,0.555229721543971,1,1612
18,4,_level_2,0.8674242424242424,0.9112206343323414,1,910
18,5,_level_1,0.2909090909090909,0.6081779889361363,1,1594
18,5,_level_2,0.6641414141414141,0.8839021982598625,1,902
19,0,_level_1,0.28901067205076436,0.7000638302939064,2,1287
19,0,_level_2,0.35912129894937916,0.6717779170790253,1,1022
19,1,_level_1,0.1678663979268644,0.5817320982432777,2,1313
19,1,_level_2,0.8589341692789969,0.900930941413046,1,927
19,2,_level_1,0.15411868910540302,0.5057623113411954,1,1493
19,2,_level_2,0.6994949494949495,0.9281454442800806,2,917
19,3,_level_1,0.16770740410347904,0.495709107319094,1,1621
19,3,_level_2,0.9238985313751668,0.9419619749087254,1,925
19,4,_level_1,0.13304721030042918,0.504045927072801,1,1593
19,4,_level_2,0.8358585858585859,0.8812872995585476,1,908
19,5,_level_1,0.1260053619302949,0.4769592404861114,1,1649
19,5,_level_2,0.7070707070707071,0.9319434458622392,1,899
20,0,_level_1,0.24121037463976944,0.6821128229890743,2,1287
20,0,_level_2,0.5047701647875108,0.7046369384946423,1,1023
20,1,_level_1,0.2132564841498559,0.6439939567300904,2,1284
20,1,_level_2,0.8849840255591054,0.9038914718962304,1,918
20,2,_level_1,0.07446808510638298,0.4343418279951703,1,1525
20,2,_level_2,0.7992424242424242,0.9391293745124646,1,919
20,3,_level_1,0.15311004784688995,0.4938983116002347,1,1575
20,3,_level_2,0.9601063829787234,0.9518033598239496,1,923
20,4,_level_1,0.17582417582417584,0.5094263120035804,1,1601
20,4,_level_2,0.8143939393939394,0.8778865646876712,1,919
20,5,_level_1,0.203125,0.5011623533751106,1,1639
20,5,_level_2,0.7234848484848485,0.8948143016582749,1,900
21,0,_level_1,0.1488078138465958,0.6332400507311603,2,1336
21,0,_level_2,0.3896663078579118,0.638918578715713,1,1030
21,1,_level_1,0.1317228805834093,0.5307785674750691,1,1343
21,1,_level_2,0.9712,0.9271798190508296,1,933
21,2,_level_1,0.1650485436893204,0.49888919098198214,1,1489
21,2,_level_2,0.8169191919191919,0.8965387008850414,1,919
21,3,_level_1,0.10760667903525048,0.5540839134984986,1,1573
21,3,_level_2,0.9460188933873144,0.92598631175825,1,906
21,4,_level_1,0.185848252344416,0.5499222267324199,1,1607
21,4,_level_2,0.8257575757575758,0.9140124031628266,1,907
21,5,_level_1,0.16371681415929204,0.527355042669254,1,1616
21,5,_level_2,0.7904040404040404,0.9098141638355662,1,902
22,0,_level_1,0.15468975468975468,0.7139946706517644,3,1301
22,0,_level_2,0.4618320610687023,0.624770559547942,1,1052
22,1,_level_1,0.28287017834923267,0.6733358470435563,1,1298
22,1,_level_2,0.9710144927536232,0.9308330493056456,1,928
22,2,_level_1,0.17871649065800163,0.5240050216757375,1,1479
22,2,_level_2,0.8813131313131313,0.9401475759747456,1,916
22,3,_level_1,0.3125,0.5736731722151437,1,1579
22,3,_level_2,0.9552238805970148,0.9437349744956214,1,905
22,4,_level_1,0.15391539153915393,0.5879408836023046,1,1594
22,4,_level_2,0.8093434343434344,0.9123094658790702,1,916
22,5,_level_1,0.15458515283842794,0.49277823555071554,1,1626
22,5,_level_2,0.5833333333333334,0.8520113178417269,1,900
23,0,_level_1,0.1083501878069922,0.5108883046670871,2,1333
